R 008. %;output;QI1. g/t
2.0;52.0;400.0
3.0;54.0;400.0
4.0;56.0;400.0
4.0;56.0;400.0
4.0;56.0;400.0
4.0;57.0;400.0
5.0;57.0;400.0
5.0;58.0;400.0
5.0;58.0;400.0
6.0;58.0;400.0
8.0;58.0;400.0
9.0;58.0;400.0
8.0;58.0;400.0
9.0;58.0;400.0
8.0;58.0;400.0
9.0;58.0;400.0
1.5;51.9;400.0
2.0;53.0;400.0
1.0;53.0;400.0
2.0;52.0;400.0
1.5;52.0;400.0
2.0;52.0;400.0
2.0;52.0;400.0
2.0;52.0;400.0
1.5;52.0;400.0
2.0;52.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
2.0;50.0;400.0
1.5;50.0;400.0
1.5;50.0;400.0
2.0;52.0;400.0
2.0;52.0;400.0
2.5;50.0;400.0
2.0;52.0;400.0
2.0;50.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
2.0;50.0;400.0
1.5;52.0;400.0
2.0;50.0;400.0
2.0;50.0;400.0
2.0;50.0;400.0
1.5;50.0;400.0
2.0;50.0;400.0
2.0;50.0;400.0
1.5;52.0;400.0
2.0;52.0;400.0
1.5;50.0;400.0
2.0;53.0;400.0
1.5;50.0;400.0
2.0;52.0;400.0
2.0;52.0;400.0
1.5;50.0;400.0
2.0;52.0;400.0
1.5;51.0;400.0
2.0;52.0;400.0
1.5;52.0;400.0
1.5;52.0;400.0
2.0;52.0;400.0
1.5;51.0;400.0
1.5;51.0;400.0
1.5;50.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
1.0;46.0;400.0
0.8;42.0;400.0
0.8;43.0;400.0
0.8;42.0;400.0
0.8;43.0;400.0
0.8;43.0;400.0
0.8;43.0;400.0
0.8;42.0;400.0
0.8;43.0;400.0
0.8;42.0;400.0
0.8;42.0;400.0
0.8;42.0;400.0
0.5;38.0;400.0
0.5;38.0;400.0
0.6;37.0;400.0
0.5;38.0;400.0
0.5;35.0;400.0
0.0;35.0;400.0
0.0;35.0;400.0
0.0;35.0;400.0
0.0;33.0;400.0
0.0;35.0;400.0
0.0;30.0;400.0
0.0;30.0;400.0
0.0;30.0;400.0
0.0;0.0;400.0
0.0;0.0;400.0
0.0;0.0;400.0
0.0;0.0;400.0
2.0;49.4;200
3.0;51.3;200
4.0;53.2;200
4.0;53.2;200
4.0;53.2;200
4.0;54.2;200
5.0;54.2;200
5.0;55.1;200
5.0;55.1;200
6.0;55.1;200
8.0;55.1;200
9.0;55.1;200
8.0;55.1;200
9.0;55.1;200
8.0;55.1;200
9.0;55.1;200
2.0;48.4;150.0
1.5;47.4;150.0
2.0;48.4;150.0
1.5;48.4;150.0
1.5;48.4;150.0
2.0;48.4;150.0
1.5;47.4;150.0
1.5;47.4;150.0
1.5;46.5;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
1.0;42.8;150.0
2.0;48.5;300.0
1.5;50.4;300.0
2.0;48.5;300.0
2.0;48.5;300.0
2.0;48.5;300.0
1.5;48.5;300.0
2.0;48.5;300.0
2.0;48.5;300.0
1.5;50.4;300.0
2.0;50.4;300.0
1.5;48.5;300.0
2.0;51.4;300.0
1.5;48.5;300.0
2.0;50.4;300.0
2.0;50.4;300.0
1.5;48.5;300.0
2.0;50.4;300.0
1.5;49.5;300.0
2.0;50.4;300.0
1.5;50.4;300.0
1.5;50.4;300.0
2.0;50.4;300.0
1.5;49.5;300.0
1.5;49.5;300.0
1.5;48.5;300.0
1.0;44.6;300.0
1.0;44.6;300.0
1.0;44.6;300.0
1.0;44.6;300.0
1.0;44.6;300.0
1.0;44.6;300.0
2.0;54.6;800.0
3.0;56.7;800.0
4.0;58.8;800.0
4.0;58.8;800.0
4.0;58.8;800.0
4.0;59.85;800.0
5.0;59.85;800.0
5.0;60.9;800.0
5.0;60.9;800.0
6.0;60.9;800.0
8.0;60.9;800.0
9.0;60.9;800.0
8.0;60.9;800.0
9.0;60.9;800.0
8.0;60.9;800.0
9.0;60.9;800.0
1.5;54.495;800.0
2.0;55.65;800.0
1.0;55.65;800.0
2.0;54.6;800.0
1.5;54.6;800.0
2.0;54.6;800.0
2.0;54.6;800.0
2.0;54.6;800.0
1.5;54.6;800.0
2.0;54.6;800.0
1.5;54.6;800.0
1.5;54.6;800.0
1.5;54.6;800.0
1.5;54.6;800.0
2.0;52.5;800.0
